Country,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Age Below 30 Score,Age Above 60 Score,Age 30-44 Score,Age 45-59 Score
Egypt,125,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349,4.126,3.967,3.903900992,3.911099008
Sri Lanka,126,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014,4.339,3.772,3.748410465,3.732589535
Bangladesh,127,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,0.919,4.2,4.124,3.607784034,3.612215966
Ethiopia,128,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923,4.125,3.563,3.868216753,3.887783247
Tanzania,129,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717,4.161,3.826,3.57660764,3.56039236
Comoros,130,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512,4.111,3.305,3.615825734,3.632174266
Zambia,131,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,3.794,2.484,3.861386273,3.868613727
Eswatini,132,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,3.894,3.075,3.528501239,3.510498761
Malawi,133,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203,3.71,3.498,3.247012143,3.228987857
Botswana,134,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,4.012,2.528,3.497468758,3.494531242
Zimbabwe,135,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797,3.661,3.021,3.383636744,3.378363256
Congo (Kinshasa),136,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102,3.441,2.703,3.51696891,3.51903109
Sierra Leone,137,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,3.225,3.471,3.137864215,3.146135785
Lesotho,138,3.186,3.469,2.904,0.771,0.851,0,0.523,0.082,0.085,0.875,3.7,2.808,3.114573291,3.121426709
Lebanon,139,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,2.997,2.49,2.673950369,2.667049631
Afghanistan,140,1.721,1.775,1.667,0.628,0,0.242,0,0.091,0.088,0.672,1.827,1.456,1.805547491,1.795452509
